"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.122249989E-3,-4.200820258E-1,-2.889886934E-1,-3.655420487E-1,6.273789625E-1
1.106925006E-2,-1.008427622E-1,-2.292243022E-1,-1.641944202E-1,2.994542553E-1
2.101525012E-2,-5.188139431E-2,-3.798976940E-1,5.497559465E-2,3.873451342E-1
3.096225020E-2,-1.790456901E-1,-4.227460903E-1,2.784164158E-1,5.369239393E-1
4.090825003E-2,-8.575694583E-2,-4.221742326E-1,4.507910176E-1,6.235365892E-1
5.085525010E-2,-1.078450953E-1,-4.527668649E-1,3.916886774E-1,6.083160515E-1
6.080125016E-2,-3.757140112E-1,-5.360212755E-1,1.822331536E-1,6.794768195E-1
7.074825000E-2,-5.103810887E-1,-5.884474111E-1,-6.200862564E-2,7.814117231E-1
8.069525007E-2,-4.447375780E-1,-5.585546905E-1,-2.673709524E-1,7.624054576E-1
9.064125014E-2,-4.455676633E-1,-5.125289172E-1,-4.881021738E-1,8.363373516E-1
1.005882502E-1,-3.669378156E-1,-4.177221626E-1,-5.727757768E-1,7.982526267E-1
1.105342500E-1,-2.230295061E-1,-2.733871526E-1,-5.437700788E-1,6.482041302E-1
1.204812501E-1,-1.524154235E-1,-2.387862539E-1,-3.675992453E-1,4.640889371E-1
1.304272502E-1,-1.791252488E-1,-2.392160243E-1,-9.645325743E-2,3.140276929E-1
1.403742500E-1,-2.380915682E-1,-2.462215734E-1,3.543646574E-2,3.443376266E-1
1.503202501E-1,-3.712022265E-1,-2.628124630E-1,-6.976663828E-2,4.601400521E-1
1.602672501E-1,-3.528595841E-1,-1.649686646E-1,-3.043218470E-1,4.943038872E-1
1.702132502E-1,6.787703745E-3,2.304153800E-2,-2.419695512E-1,2.431588968E-1
1.801602500E-1,3.455438037E-1,1.034331518E-1,-1.257494889E-2,3.609114386E-1
1.901062501E-1,2.852205466E-1,9.805254400E-2,1.016456580E-1,3.182717414E-1
2.000532502E-1,-2.184612410E-1,1.738260269E-2,9.314614534E-3,2.193495628E-1
2.100002500E-1,-7.314034284E-1,-4.231629968E-3,-2.496609056E-1,7.728515055E-1
2.199462501E-1,-8.824552812E-1,4.877630353E-2,-5.012630868E-1,1.016056659E0
2.298932502E-1,-8.803659980E-1,1.546278638E-1,-6.194949567E-1,1.087533019E0
2.398392500E-1,-9.765841243E-1,2.314696330E-1,-4.231851431E-1,1.089210911E0
2.497862501E-1,-1.204641907E0,2.587521565E-1,-1.008691478E-1,1.236240020E0
2.597322501E-1,-1.548303382E0,3.907167971E-1,3.987403830E-1,1.645872678E0
2.696792502E-1,-1.746217453E0,6.494192523E-1,1.089207564E0,2.158099598E0
2.796252500E-1,-2.055056858E0,9.231660086E-1,1.414128056E0,2.659934647E0
2.895722501E-1,-2.757560935E0,1.207616093E0,1.508800324E0,3.367336835E0
2.995182502E-1,-4.250279370E0,1.272856402E0,1.423441501E0,4.659530432E0
3.094652500E-1,-7.307142609E0,1.104746613E0,1.379883252E0,7.517903696E0
3.194112501E-1,-1.175146972E1,8.312325758E-1,1.895356243E0,1.193232432E1
3.293582501E-1,-1.673151406E1,4.805610198E-1,2.677706680E0,1.695124228E1
3.393042502E-1,-2.215775474E1,1.093408277E0,3.843455540E0,2.251519015E1
3.492512500E-1,-2.797878890E1,2.067499441E0,5.297190295E0,2.855078646E1
3.591982501E-1,-3.426465566E1,2.588855900E0,7.481328825E0,3.516730133E1
3.691442502E-1,-3.961873585E1,2.688044558E0,1.197608350E1,4.147645585E1
3.790912500E-1,-4.077973560E1,2.261214772E0,1.968658575E1,4.533940435E1
3.890372501E-1,-3.825718128E1,4.885810608E-1,2.838069844E1,4.763732439E1
3.989842501E-1,-3.581106878E1,-3.159832415E0,3.353264975E1,4.916152751E1
4.089302502E-1,-3.165217818E1,-6.697702525E0,3.261594199E1,4.594038827E1
4.188772500E-1,-2.347635801E1,-7.699507737E0,2.833432300E1,3.759329281E1
4.288232501E-1,-1.300580741E1,-7.155563484E0,2.456429563E1,2.870118003E1
4.387702502E-1,-6.706431833E-1,-6.233895532E0,2.188426877E1,2.276471910E1
4.487162500E-1,1.205294398E1,-4.605353002E0,1.968318969E1,2.353530733E1
4.586632501E-1,2.437295602E1,-1.898817794E0,1.630789030E1,2.938696616E1
4.686102502E-1,3.496274304E1,1.651331468E0,1.105457634E1,3.670591171E1
4.785562500E-1,4.274377792E1,4.590907456E0,5.596475351E0,4.335236462E1
4.885032501E-1,4.575802227E1,6.348924297E0,3.461725621E-1,4.619767610E1
4.984492501E-1,4.254457965E1,6.301854796E0,-3.983004019E0,4.319281136E1
5.083962502E-1,3.538067863E1,3.710253628E0,-5.513819110E0,3.599945282E1
5.183422500E-1,2.742407525E1,-4.253662276E-1,-3.090130681E0,2.760090120E1
5.282892501E-1,2.015900803E1,-4.456492832E0,1.639670366E0,2.071073278E1
5.382352502E-1,1.468756603E1,-7.494163463E0,4.502082403E0,1.709256645E1
5.481822500E-1,1.166627696E1,-8.912526657E0,4.166622963E0,1.526092712E1
5.581282501E-1,9.830664060E0,-8.308601081E0,1.829807786E0,1.300088475E1
5.680752501E-1,8.633539041E0,-6.690684696E0,-7.052524142E-1,1.094534783E1
5.780212502E-1,8.023238246E0,-5.065055249E0,-2.477372886E0,9.806350649E0
5.879682500E-1,7.179731780E0,-3.453011808E0,-3.526503707E0,8.712523594E0
5.979142501E-1,5.639471097E0,-2.170592870E0,-3.632627163E0,7.050609035E0
6.078612502E-1,3.727602902E0,-1.652119088E0,-2.682638222E0,4.880683221E0
6.178082500E-1,2.327846279E0,-1.727741713E0,-9.664686605E-1,3.055817632E0
6.277542501E-1,1.689093518E0,-1.522587474E0,7.029897610E-1,2.380231949E0
6.377012501E-1,1.462369339E0,-1.115319548E0,1.970339767E0,2.695310849E0
6.476472502E-1,1.624108148E0,-8.091289312E-1,2.473187449E0,3.067421240E0
6.575942500E-1,1.995556615E0,-3.294701368E-1,2.024288517E0,2.861562646E0
6.675402501E-1,2.466875964E0,3.528642619E-1,8.815566373E-1,2.643318429E0
6.774872502E-1,2.798385610E0,1.265709350E0,-1.595483688E-1,3.075457342E0
6.874332500E-1,2.901983069E0,1.944146580E0,-6.793330228E-1,3.558469476E0
6.973802501E-1,2.615238537E0,2.286423873E0,-6.122923565E-1,3.527337333E0
7.073262502E-1,1.637837264E0,1.879769905E0,1.342860583E-1,2.496813678E0
7.172732500E-1,4.151710955E-1,9.707097191E-1,1.245628842E0,1.632861173E0
7.272202501E-1,-3.454132280E-1,4.095331371E-1,1.845718060E0,1.921900841E0
7.371662501E-1,-8.026168140E-1,-5.439781666E-2,1.678140367E0,1.860996498E0
7.471132502E-1,-8.970900580E-1,-3.940017629E-1,9.124099823E-1,1.338842760E0
7.570592500E-1,-8.004119021E-1,-3.423842973E-1,4.143804789E-1,9.641563158E-1
7.670062501E-1,-5.888415865E-1,7.545714855E-2,2.505988355E-1,6.443818523E-1
