"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.507333299E-3,-5.033933736E-2,-4.129169208E-1,4.408259735E-2,4.183033681E-1
1.745333336E-2,5.608736231E-1,-2.207873547E-1,6.078641139E-1,8.560520183E-1
2.739833319E-2,1.425621781E0,-2.019663370E-1,1.027017090E0,1.768601698E0
3.734433325E-2,2.165169285E0,-1.709883732E-1,9.139898269E-1,2.356389709E0
4.729033331E-2,2.422602748E0,-3.086341685E-1,5.177830790E-1,2.496469195E0
5.723633338E-2,2.230561913E0,-5.883661348E-1,-8.386544466E-2,2.308379208E0
6.718233321E-2,1.658644873E0,-6.971319473E-1,-6.312133616E-1,1.906705555E0
7.712833327E-2,9.188818999E-1,-6.279897916E-1,-1.066743804E0,1.541641161E0
8.707433334E-2,2.760093364E-1,-3.737762439E-1,-1.143541865E0,1.234332950E0
9.702033317E-2,-5.807841964E-2,-1.118911493E-1,-1.010760223E0,1.018591655E0
1.069663332E-1,-8.300911993E-2,-9.156213462E-2,-9.370796044E-1,9.451943311E-1
1.169123333E-1,2.339586465E-1,-1.129699606E-1,-7.924392235E-1,8.339417145E-1
1.268583334E-1,5.303977890E-1,-2.351890469E-1,-6.644103438E-1,8.820866211E-1
1.368043332E-1,6.024651604E-1,-4.607968462E-1,-5.294213770E-1,9.249783767E-1
1.467503333E-1,6.109224270E-1,-4.523259848E-1,-2.880244875E-1,8.128856707E-1
1.566963333E-1,7.701782888E-1,-1.080735022E-1,1.152399959E-1,7.862154508E-1
1.666423334E-1,9.111965389E-1,2.305036730E-1,4.838350220E-1,1.057122228E0
1.765883332E-1,9.933572278E-1,3.378263927E-1,6.952047050E-1,1.258648019E0
1.865343333E-1,9.920793188E-1,3.456300867E-1,6.876734912E-1,1.255617920E0
1.964803333E-1,9.748647505E-1,4.533545101E-1,5.655029368E-1,1.214777825E0
2.064263332E-1,1.057927957E0,6.042109197E-1,2.710798413E-1,1.248105235E0
2.163723332E-1,1.167131872E0,6.336364478E-1,-1.523477420E-2,1.328128026E0
2.263183333E-1,1.177747346E0,5.128569460E-1,-2.710316017E-2,1.284852381E0
2.362643334E-1,1.117926310E0,3.721115416E-1,-2.684295908E-2,1.178535862E0
2.462103332E-1,9.517087533E-1,2.518822628E-1,-9.697270945E-2,9.892410888E-1
2.561563333E-1,6.065644971E-1,1.097955072E-1,-8.928245142E-2,6.228538341E-1
2.661023333E-1,2.709612159E-1,-3.054760873E-2,-6.000778154E-2,2.792025622E-1
2.760483334E-1,1.531874387E-1,-4.740279257E-2,-1.335271628E-1,2.086694020E-1
2.859943332E-1,1.896556822E-1,1.598102510E-2,-1.879031986E-1,2.674551981E-1
2.959403333E-1,3.363559641E-1,4.145675898E-2,-1.183571465E-1,3.589741099E-1
3.058863333E-1,5.560203245E-1,6.496315062E-2,-1.324058130E-2,5.599590388E-1
3.158323332E-1,7.345955696E-1,1.080898744E-1,-3.499105409E-2,7.433292983E-1
3.257783332E-1,8.701051578E-1,1.867659152E-1,-9.126407281E-2,8.945913166E-1
3.357243333E-1,8.382514273E-1,2.312263888E-1,-2.226923776E-1,8.976207402E-1
3.456703334E-1,6.130144145E-1,1.657498527E-1,-2.925981796E-1,6.991948089E-1
3.556163332E-1,3.325955101E-1,8.938989401E-2,-2.972952479E-1,4.549668020E-1
3.655623333E-1,2.256049488E-1,1.016614455E-1,-2.652548450E-1,3.627571849E-1
3.755083333E-1,2.967458289E-1,8.420516789E-2,-1.241148998E-1,3.324952716E-1
3.854543334E-1,3.706558407E-1,-1.066906357E-1,6.844633698E-2,3.917314706E-1
3.954003332E-1,3.714998132E-1,-3.658480042E-1,1.617852943E-1,5.459224806E-1
