"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.001666628E-3,2.299347023E-1,-3.843866014E-1,-6.087949906E-1,7.558137121E-1
1.294766669E-2,5.480111009E-2,-7.641901553E-2,-4.435795735E-1,4.534378299E-1
2.289466676E-2,4.954296852E-1,2.911287743E-1,4.349275947E-2,5.762795817E-1
3.284166660E-2,5.374095142E-1,3.644423336E-1,-1.652464074E-1,6.700250559E-1
4.278866667E-2,2.820365184E-1,-1.496477902E-2,-4.878079127E-1,5.636710938E-1
5.273566674E-2,3.264554220E-1,-1.525257897E-1,-3.435404380E-1,4.978526806E-1
6.268266682E-2,3.378213494E-1,-2.266480190E-1,-4.298522115E-2,4.090725093E-1
7.262866665E-2,3.870404334E-1,-4.243388718E-1,1.219363734E-2,5.744671096E-1
8.257566672E-2,2.267000409E-1,-5.840163910E-1,9.035512313E-2,6.329550551E-1
9.252266679E-2,1.009517762E-1,-7.103630269E-1,1.092793442E-1,7.257746662E-1
1.024696666E-1,-3.139178222E-2,-5.764033163E-1,2.126168941E-1,6.151684084E-1
1.124166667E-1,-2.352675823E-1,-3.991783029E-1,2.320521618E-1,5.182107280E-1
1.223636668E-1,-3.314978050E-1,-3.601744509E-1,1.750270450E-1,5.198566112E-1
1.323106666E-1,-2.695540469E-1,-1.259116030E-1,3.049087612E-1,4.260075922E-1
1.422566667E-1,-1.379155713E-1,1.587460577E-2,3.784614716E-1,4.031200732E-1
1.522036667E-1,-1.907985936E-1,1.544249654E-2,4.252514760E-1,4.663490022E-1
1.621506668E-1,-2.145445749E-1,-2.041321456E-2,3.418953238E-1,4.041515637E-1
1.720976667E-1,-2.968858697E-1,-5.467497468E-2,2.370448069E-1,3.838239349E-1
1.820446667E-1,-3.219479131E-1,-8.660311103E-2,2.121900474E-1,3.951900477E-1
1.919916668E-1,-2.619640686E-1,-2.431623101E-2,3.307530159E-1,4.226275072E-1
2.019386666E-1,-2.145879905E-1,1.256905782E-1,4.387006567E-1,5.042860233E-1
2.118846667E-1,-1.269080599E-1,2.073428518E-1,3.785871868E-1,4.499166276E-1
2.218316668E-1,-1.186558296E-1,2.758535081E-1,3.377736215E-1,4.519572803E-1
2.317786666E-1,-1.549682083E-2,3.147632200E-1,3.780873960E-1,4.922053587E-1
2.417256667E-1,5.255585236E-2,3.804028934E-1,3.033563255E-1,4.893807711E-1
2.516726668E-1,-4.425462426E-2,3.435683584E-1,9.460546419E-2,3.590931391E-1
2.616196666E-1,-1.350291024E-1,1.823284632E-1,1.552055687E-2,2.274146316E-1
2.715666667E-1,-6.905112181E-2,1.099867111E-1,4.329731628E-2,1.368933587E-1
2.815133750E-1,1.377992573E-1,1.799427992E-1,4.381421015E-2,2.308413553E-1
2.914603751E-1,2.732611268E-1,2.767019391E-1,-3.354035988E-2,3.903339112E-1
3.014073751E-1,3.329529942E-1,3.907191360E-1,-8.272070602E-2,5.199633206E-1
3.113543750E-1,2.812755581E-1,4.150558323E-1,1.209218815E-2,5.015311600E-1
3.213013751E-1,2.072474508E-1,4.413022292E-1,5.777326807E-2,4.909551037E-1
3.312483751E-1,7.005230674E-2,3.414984441E-1,3.575440809E-2,3.504381410E-1
3.411943750E-1,9.440700604E-2,2.778298670E-1,4.011043757E-3,2.934590368E-1
3.511413750E-1,1.467408652E-1,3.414364636E-1,-1.309561421E-1,3.940320436E-1
3.610883751E-1,1.374415813E-1,4.027550447E-1,-2.503083386E-1,4.937165975E-1
3.710353749E-1,1.029270205E-1,4.281711370E-1,-2.895764847E-1,5.270474690E-1
3.809823750E-1,1.083877352E-1,4.439211971E-1,-1.529650618E-1,4.818840529E-1
3.909293751E-1,1.377684955E-1,3.826862311E-1,-1.372136861E-2,4.069609144E-1
4.008763751E-1,8.081977621E-2,2.934442717E-1,-2.566284478E-2,3.054504189E-1
4.108223750E-1,7.039590832E-4,2.439832592E-1,-4.691235736E-2,2.484534073E-1
4.207693751E-1,-1.330581979E-1,8.849994779E-2,1.769411311E-2,1.607787499E-1
4.307163751E-1,-1.920962187E-1,-4.687595844E-2,6.337848209E-2,2.076418664E-1
4.406633750E-1,-1.105014306E-1,-2.611892760E-2,8.535765409E-3,1.138666932E-1
4.506103750E-1,-8.065724188E-2,7.798899293E-2,1.260338098E-1,1.687376511E-1
4.605573751E-1,-3.598582992E-2,1.531385779E-1,3.396448036E-1,3.743060200E-1
4.705043749E-1,-3.320667573E-2,1.427258563E-1,1.996658961E-1,2.476687777E-1
4.804503750E-1,-4.464777642E-2,-3.442197382E-2,4.077029586E-2,6.957379712E-2
4.903973751E-1,-6.079006590E-2,-2.431295657E-1,-3.715759367E-3,2.506416260E-1
5.003443751E-1,-3.078929060E-3,-3.324925625E-1,-2.623163268E-2,3.335399264E-1
5.102913750E-1,1.164668696E-1,-3.098784560E-1,-3.179058060E-2,3.325655277E-1
5.202383751E-1,1.054538856E-1,-1.732991928E-1,2.857709706E-2,2.048652794E-1
5.301853751E-1,7.743370844E-2,-8.937410653E-2,2.009132534E-1,2.331305332E-1
5.401323750E-1,1.531448089E-1,-8.803158581E-2,2.843208611E-1,3.347256259E-1
5.500783750E-1,8.015249927E-2,-1.488432133E-1,3.243484875E-1,3.657603951E-1
5.600253751E-1,8.335618187E-3,-2.304405230E-1,2.274501108E-1,3.238917567E-1
5.699723749E-1,5.466116063E-2,-3.197199047E-1,1.053779358E-1,3.410471657E-1
5.799193750E-1,1.486447552E-1,-3.745205945E-1,7.092731059E-2,4.091352128E-1
5.898663751E-1,1.552973151E-1,-3.993250680E-1,1.219495296E-1,4.454766591E-1
5.998133749E-1,2.227548880E-1,-3.892058766E-1,1.344653486E-1,4.681686496E-1
6.097603750E-1,2.039534036E-1,-3.066887999E-1,1.692194442E-1,4.053273135E-1
6.197063751E-1,1.453091014E-1,-3.863079965E-1,2.710633229E-1,4.937853057E-1
6.296533751E-1,1.156899574E-1,-4.646384668E-1,3.760342924E-1,6.088307320E-1
6.396003750E-1,9.150762761E-2,-4.480007994E-1,3.271914768E-1,5.622567249E-1
6.495473750E-1,1.301906593E-1,-3.362230861E-1,2.236115599E-1,4.242613595E-1
6.594943751E-1,1.384461421E-1,-2.790180212E-1,2.110991031E-1,3.762728023E-1
6.694413750E-1,1.277538414E-1,-2.985255021E-1,1.629942061E-1,3.633257913E-1
6.793883750E-1,3.159135500E-2,-4.550373387E-1,1.320929870E-2,4.563238750E-1
6.893343751E-1,-4.006842898E-2,-6.157527387E-1,-9.403068289E-2,6.241784068E-1
6.992813749E-1,-2.371040465E-2,-6.238669199E-1,-3.942587480E-2,6.255609615E-1
7.092283750E-1,6.203998134E-2,-4.915584630E-1,2.286020122E-1,5.456533348E-1
7.191753751E-1,1.239994721E-1,-3.990818238E-1,1.687200920E-1,4.506757600E-1
7.291223751E-1,1.144925573E-1,-3.599943566E-1,-4.673927978E-2,3.806429334E-1
7.390693750E-1,1.119244419E-1,-2.708634943E-1,-1.170921014E-1,3.156020808E-1
7.490163750E-1,2.059296894E-1,-2.243629271E-1,1.341994464E-2,3.048374238E-1
7.589623751E-1,3.570189644E-1,-7.770949602E-2,1.630566251E-1,4.001109468E-1
7.689093750E-1,3.646341953E-1,7.068289697E-2,2.189084981E-1,4.311323450E-1
7.788563750E-1,2.668384720E-1,4.968145251E-2,1.060163055E-1,2.913940183E-1
7.888033751E-1,1.576788678E-1,-9.019037783E-2,4.854899302E-2,1.880264192E-1
7.987503749E-1,1.899905815E-1,-1.348929262E-1,1.469099776E-1,2.754542868E-1
8.086973750E-1,2.691921956E-1,-2.513191760E-2,7.415014967E-2,2.803467427E-1
8.186433751E-1,2.626989357E-1,-4.001834393E-2,1.248234361E-1,2.935865952E-1
8.285903751E-1,2.742016514E-1,-8.292462766E-2,1.747867244E-1,3.355792582E-1
8.385373750E-1,3.323959373E-1,-1.645897651E-1,1.605380832E-1,4.041649738E-1
8.484843750E-1,3.569966719E-1,-2.212931389E-1,-2.384722584E-1,4.829971999E-1
8.584313751E-1,3.215103221E-1,-4.125953239E-1,-6.155453087E-1,8.077746070E-1
8.683783750E-1,1.180488155E-1,-6.540063930E-1,-8.703486943E-1,1.095064717E0
8.783253750E-1,-3.058703541E-1,-7.924807388E-1,-1.075468435E0,1.370479751E0
8.882713751E-1,-4.130145693E-1,-8.464452767E-1,-8.216133213E-1,1.249839626E0
8.982183749E-1,-3.420170190E-1,-9.438774312E-1,-2.932931212E-1,1.045897271E0
9.081653750E-1,7.242063465E-2,-9.463683450E-1,-3.167834330E-1,1.000604585E0
9.181123751E-1,3.965328033E-1,-4.455174869E-1,-7.804524314E-1,9.822576510E-1
9.280593751E-1,7.030312032E-1,1.131684735E0,-1.170829067E0,1.773641428E0
9.380063750E-1,7.733468219E-1,3.086713568E0,-6.868724227E-3,3.182123998E0
9.479533751E-1,8.763594858E-1,5.737533581E0,1.313398364E0,5.950824548E0
9.578993751E-1,1.440589338E0,1.058504376E1,-3.100445169E-1,1.068712200E1
9.678463750E-1,2.651798252E0,1.897975211E1,-2.508474811E0,1.932758313E1
9.777933750E-1,1.815818322E0,2.678588207E1,-3.620514071E0,2.709038199E1
9.877403751E-1,1.276476852E0,3.321501730E1,-1.813836409E0,3.328898872E1
9.976873749E-1,1.421901783E0,3.847174603E1,1.326164882E0,3.852084839E1
1.007634375E0,2.429635925E0,4.173604071E1,6.568226459E0,4.231952060E1
1.017581375E0,4.801792258E0,4.250942152E1,1.366595338E1,4.490953583E1
1.027527375E0,4.784957832E0,4.026168633E1,1.388078944E1,4.285528582E1
1.037474375E0,2.589691174E0,3.339029109E1,1.107054041E1,3.527286357E1
1.047421375E0,2.525710064E0,2.637820717E1,8.439708520E0,2.781038844E1
1.057368375E0,1.883546329E0,1.729978741E1,8.544606400E0,1.938661109E1
1.067315375E0,4.761513421E-1,6.674044690E0,7.989398071E0,1.042113593E1
1.077262375E0,-1.114061374E0,-3.119862603E0,6.914396828E0,7.667043688E0
1.087208375E0,-1.612721280E0,-1.249699440E1,6.379385367E0,1.412346617E1
1.097155375E0,-2.783525788E0,-2.213861564E1,5.458931297E0,2.297098711E1
1.107102375E0,-4.325246522E0,-2.954949370E1,2.372504827E0,2.995845648E1
1.117049375E0,-3.671646802E0,-3.153439654E1,-9.550649089E-1,3.176179001E1
1.126996375E0,-2.563840049E0,-3.001393102E1,-6.120070124E-1,3.012945210E1
1.136943375E0,-1.489492818E0,-2.646771401E1,1.988770775E0,2.658408703E1
1.146890375E0,-9.247096004E-1,-2.192660963E1,3.614217789E0,2.224171459E1
1.156837375E0,-3.510809342E-1,-1.940811328E1,4.382960587E0,1.989996136E1
1.166783375E0,-1.527424291E-1,-1.674980064E1,4.993567191E0,1.747898353E1
1.176730375E0,-2.190251866E-2,-1.375198931E1,5.337376454E0,1.475145000E1
1.186677375E0,-8.969217679E-2,-1.223950173E1,3.931362580E0,1.285570142E1
1.196624375E0,2.532049030E-1,-1.098867238E1,2.484847382E0,1.126896179E1
1.206571375E0,8.402540986E-1,-8.518730131E0,1.454362162E0,8.682739159E0
1.216518375E0,1.140747700E0,-6.289235920E0,6.408297656E-1,6.423897303E0
1.226464375E0,6.622004617E-1,-5.104450280E0,1.419641834E-2,5.147244277E0
1.236411375E0,4.087674259E-2,-4.540129066E0,-6.410765912E-1,4.585348627E0
1.246358375E0,-2.684127983E-1,-4.001780013E0,-9.164955781E-1,4.114152750E0
1.256305375E0,-3.090963544E-1,-3.050592978E0,-8.707066170E-1,3.187442248E0
1.266252375E0,-2.880725078E-1,-2.086103527E0,-6.440970435E-1,2.202197697E0
1.276199375E0,2.306654216E-1,-8.838867527E-1,5.777575314E-2,9.153143536E-1
1.286146500E0,6.155178268E-1,-1.115572733E-1,5.165243927E-1,8.112365060E-1
1.296092500E0,7.144994934E-1,-1.484771776E-1,3.275551736E-1,7.999046131E-1
1.306039500E0,5.843706227E-1,-7.478413403E-2,6.746743999E-2,5.929869702E-1
1.315986500E0,3.975583318E-1,1.106848687E-1,-6.458907500E-3,4.127293118E-1
1.325933500E0,8.206420988E-2,2.247523516E-1,2.542093816E-1,3.490996474E-1
1.335880500E0,-3.678015590E-1,4.770339793E-1,4.634503126E-1,7.600168396E-1
1.345827500E0,-6.742792743E-1,5.630611396E-1,4.209281909E-1,9.741000609E-1
1.355774500E0,-7.773859323E-1,1.421382111E-1,8.404736616E-2,7.947302175E-1
1.365720500E0,-6.267211651E-1,-1.227628773E-1,-1.271394452E-1,6.511640203E-1
1.375667500E0,-6.563312459E-1,-5.500621945E-1,-3.278306506E-1,9.169580457E-1
1.385614500E0,-8.631399545E-1,-1.101172210E0,-6.813872228E-1,1.556238852E0
1.395561500E0,-1.034720066E0,-1.562291238E0,-6.279489342E-1,1.976289298E0
1.405508500E0,-1.024196832E0,-1.954009078E0,-4.929314623E-1,2.260555696E0
1.415455500E0,-7.344731435E-1,-2.159573207E0,-2.820936567E-1,2.298430783E0
1.425402500E0,-4.285500365E-1,-1.972570480E0,5.957844973E-2,2.019465034E0
1.435348500E0,-3.516113497E-1,-1.729143291E0,2.690028372E-1,1.784917249E0
1.445295500E0,-1.840112553E-1,-1.593612433E0,1.847883868E-1,1.614808805E0
1.455242500E0,7.159886330E-2,-1.332403277E0,3.039762765E-1,1.368512501E0
1.465189500E0,-7.193427421E-3,-1.277447636E0,3.153695762E-1,1.315819964E0
1.475136500E0,-6.111133385E-2,-1.374795005E0,2.323584098E-1,1.395631159E0
1.485083500E0,-5.472412784E-2,-1.326356671E0,-2.250125527E-2,1.327675809E0
1.495030500E0,-8.289816901E-3,-1.445790144E0,4.227712333E-2,1.446431891E0
1.504976500E0,1.002197048E-1,-1.677461506E0,2.759591965E-1,1.702960531E0
1.514923500E0,2.089286897E-2,-1.765676109E0,5.283419810E-1,1.843147819E0
1.524870500E0,-1.068030849E-1,-1.714529929E0,7.624166948E-1,1.879441139E0
1.534817500E0,-2.305437264E-1,-1.377093546E0,5.321824323E-1,1.494240672E0
1.544764500E0,-2.847457710E-1,-1.338842230E0,3.058030929E-1,1.402531356E0
1.554711500E0,-1.468671102E-1,-1.347615978E0,2.360930264E-2,1.355800933E0
1.564658500E0,-4.216376044E-2,-1.233599950E0,-3.543640727E-1,1.284180873E0
1.574604500E0,7.053788602E-3,-1.168373090E0,-4.785027999E-1,1.262580834E0
1.584551500E0,-1.305336442E-1,-1.246880731E0,-4.922555973E-1,1.346872734E0
1.594498500E0,-2.162951947E-1,-1.342526561E0,-3.734442683E-1,1.410185023E0
1.604445500E0,-4.341870813E-1,-1.360952307E0,-3.525414956E-1,1.471392235E0
1.614392500E0,-6.181252465E-1,-1.416724219E0,-1.555489464E-1,1.553506295E0
1.624339500E0,-5.720600776E-1,-1.426480299E0,6.175229833E-2,1.538152177E0
1.634286500E0,-3.425642819E-1,-1.221928908E0,1.576467812E-1,1.278793592E0
1.644232500E0,-3.176222526E-1,-1.070509411E0,1.519206029E-1,1.126922430E0
1.654179500E0,-2.422908557E-1,-1.031320202E0,1.764186823E-1,1.073987789E0
1.664126500E0,-1.963762161E-1,-1.135562609E0,2.120264715E-1,1.171759908E0
1.674073500E0,-4.001452862E-1,-1.126702323E0,1.698317939E-1,1.207649458E0
1.684020500E0,-6.630486734E-1,-8.243889946E-1,-1.174588680E-2,1.058011684E0
1.693967500E0,-8.806938806E-1,-4.760563248E-1,7.200846076E-3,1.001150932E0
1.703913500E0,-7.395714770E-1,3.030652803E-1,3.378158677E-1,8.677177503E-1
1.713860500E0,-4.234751284E-1,1.349319856E0,6.035371743E-1,1.537612558E0
